Cereal name,Supplier,Cold or Hot,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,rating
100%_Bran,N,C,70,4,1,130,10,5,6,280,25,68.402973
100%_Natural_Bran,Q,C,120,3,5,15,2,8,8,135,0,33.983679
All-Bran,K,C,70,4,1,260,9,7,5,320,25,59.425505
All-Bran_with_Extra_Fiber,K,C,50,4,0,140,14,8,0,330,25,93.704912
Almond_Delight,R,C,110,2,2,200,1,14,8,,25,34.384843
Apple_Cinnamon_Cheerios,G,C,110,2,2,180,1.5,10.5,10,70,25,29.509541
Apple_Jacks,K,C,110,2,0,125,1,11,14,30,25,33.174094
Basic_4,G,C,130,3,2,210,2,18,8,100,25,37.038562
Bran_Chex,R,C,90,2,1,200,4,15,6,125,25,49.120253
Bran_Flakes,P,C,90,3,0,210,5,13,5,190,25,53.313813
Cap'n'Crunch,Q,C,120,1,2,220,0,12,12,35,25,18.042851
Cheerios,G,C,110,6,2,290,2,17,1,105,25,50.764999
Cinnamon_Toast_Crunch,G,C,120,1,3,210,0,13,9,45,25,19.823573
Clusters,G,C,110,3,2,140,2,13,7,105,25,40.400208
Cocoa_Puffs,G,C,110,1,1,180,0,12,13,55,25,22.736446
Corn_Chex,R,C,110,2,0,280,0,22,3,25,25,41.445019
Corn_Flakes,K,C,100,2,0,290,1,21,2,35,25,45.863324
Corn_Pops,K,C,110,1,0,90,1,13,12,20,25,35.782791
Count_Chocula,G,C,110,1,1,180,0,12,13,65,25,22.396513
Cracklin'_Oat_Bran,K,C,110,3,3,140,4,10,7,160,25,40.448772
Cream_of_Wheat_(Quick),N,H,100,3,0,80,1,21,0,,0,64.533816
Crispix,K,C,110,2,0,220,1,21,3,30,25,46.895644
Crispy_Wheat_&_Raisins,G,C,100,2,1,140,2,11,10,120,25,36.176196
Double_Chex,R,C,100,2,0,190,1,18,5,80,25,44.330856
Froot_Loops,K,C,110,2,1,125,1,11,13,30,25,32.207582
Frosted_Flakes,K,C,110,1,0,200,1,14,11,25,25,31.435973
Frosted_Mini-Wheats,K,C,100,3,0,0,3,14,7,100,25,58.345141
"Fruit_&_Fibre_Dates,_Walnuts,_and_Oats",P,C,120,3,2,160,5,12,10,200,25,40.917047
Fruitful_Bran,K,C,120,3,0,240,5,14,12,190,25,41.015492
Fruity_Pebbles,P,C,110,1,1,135,0,13,12,25,25,28.025765
Golden_Crisp,P,C,100,2,0,45,0,11,15,40,25,35.252444
Golden_Grahams,G,C,110,1,1,280,0,15,9,45,25,23.804043
Grape_Nuts_Flakes,P,C,100,3,1,140,3,15,5,85,25,52.076897
Grape-Nuts,P,C,110,3,0,170,3,17,3,90,25,53.371007
Great_Grains_Pecan,P,C,120,3,3,75,3,13,4,100,25,45.811716
Honey_Graham_Ohs,Q,C,120,1,2,220,1,12,11,45,25,21.871292
Honey_Nut_Cheerios,G,C,110,3,1,250,1.5,11.5,10,90,25,31.072217
Honey-comb,P,C,110,1,0,180,0,14,11,35,25,28.742414
Just_Right_Crunchy__Nuggets,K,C,110,2,1,170,1,17,6,60,100,36.523683
Just_Right_Fruit_&_Nut,K,C,140,3,1,170,2,20,9,95,100,36.471512
Kix,G,C,110,2,1,260,0,21,3,40,25,39.241114
Life,Q,C,100,4,2,150,2,12,6,95,25,45.328074
Lucky_Charms,G,C,110,2,1,180,0,12,12,55,25,26.734515
Maypo,A,H,100,4,1,0,0,16,3,95,25,54.850917
"Muesli_Raisins,_Dates,_&_Almonds",R,C,150,4,3,95,3,16,11,170,25,37.136863
"Muesli_Raisins,_Peaches,_&_Pecans",R,C,150,4,3,150,3,16,11,170,25,34.139765
Mueslix_Crispy_Blend,K,C,160,3,2,150,3,17,13,160,25,30.313351
Multi-Grain_Cheerios,G,C,100,2,1,220,2,15,6,90,25,40.105965
Nut&Honey_Crunch,K,C,120,2,1,190,0,15,9,40,25,29.924285
Nutri-Grain_Almond-Raisin,K,C,140,3,2,220,3,21,7,130,25,40.69232
Nutri-grain_Wheat,K,C,90,3,0,170,3,18,2,90,25,59.642837
Oatmeal_Raisin_Crisp,G,C,130,3,2,170,1.5,13.5,10,120,25,30.450843
Post_Nat._Raisin_Bran,P,C,120,3,1,200,6,11,14,260,25,37.840594
Product_19,K,C,100,3,0,320,1,20,3,45,100,41.50354
Puffed_Rice,Q,C,50,1,0,0,0,13,0,15,0,60.756112
Puffed_Wheat,Q,C,50,2,0,0,1,10,0,50,0,63.005645
Quaker_Oat_Squares,Q,C,100,4,1,135,2,14,6,110,25,49.511874
Quaker_Oatmeal,Q,H,100,5,2,0,2.7,,,110,0,50.828392
Raisin_Bran,K,C,120,3,1,210,5,14,12,240,25,39.259197
Raisin_Nut_Bran,G,C,100,3,2,140,2.5,10.5,8,140,25,39.7034
Raisin_Squares,K,C,90,2,0,0,2,15,6,110,25,55.333142
Rice_Chex,R,C,110,1,0,240,0,23,2,30,25,41.998933
Rice_Krispies,K,C,110,2,0,290,0,22,3,35,25,40.560159
Shredded_Wheat,N,C,80,2,0,0,3,16,0,95,0,68.235885
Shredded_Wheat_'n'Bran,N,C,90,3,0,0,4,19,0,140,0,74.472949
Shredded_Wheat_spoon_size,N,C,90,3,0,0,3,20,0,120,0,72.801787
Smacks,K,C,110,2,1,70,1,9,15,40,25,31.230054
